C'est	OTHER
vrai	OTHER
qu'il	OTHER
pleut	OTHER
souvent	OTHER
à	OTHER
La 	OTHER
Rochelle	LOCATION
.	OTHER
Et	OTHER
qu'en	OTHER
automne	OTHER
les	OTHER
ponts	OTHER
s	OTHER
`	OTHER
ennuient	OTHER
.	OTHER
Dans	OTHER
la	OTHER
grisaille	OTHER
de	OTHER
l'avant-nuit	OTHER
...	OTHER
Il	OTHER
pleut	OTHER
comme	OTHER
une	OTHER
ritournelle	OTHER
.	OTHER
Et	OTHER
s	OTHER
`	OTHER
ouvrent	OTHER
grand	OTHER
les	OTHER
parapluies	OTHER
.	OTHER
Sous	OTHER
les	OTHER
lumières	OTHER
de	OTHER
La	OTHER
Rochelle	LOCATION
.	OTHER
Les	OTHER
lumières	OTHER
d'avant	OTHER
la	OTHER
nuit	OTHER
.	OTHER
La	OTHER
pluie	OTHER
dilue	OTHER
l'envers	OTHER
des	OTHER
rues	OTHER
.	OTHER
Dans	OTHER
la	OTHER
profondeur	OTHER
de	OTHER
miroir	OTHER
.	OTHER
Des	OTHER
trottoirs	OTHER
noirs	OTHER
mouillés	OTHER
de	OTHER
pluie	OTHER
,	OTHER
iI	OTHER
pleut	OTHER
autant	OTHER
qu'il	OTHER
peut	OTHER
pleuvoir	OTHER
!	OTHER
La	OTHER
cathédrale	OTHER
tend	OTHER
sa	OTHER
grand-voile	OTHER
,	OTHER
le	OTHER
vent	OTHER
s	OTHER
`	OTHER
engouffre	OTHER
dans	OTHER
la	OTHER
toile	OTHER
.	OTHER
La	OTHER
cathédrale	OTHER
devient	OTHER
vaisseau	OTHER
,	OTHER
Vaisseau	OTHER
de	OTHER
pierre	OTHER
avec	OTHER
trois	OTHER
mâts	OTHER
.	OTHER
Les	OTHER
eaux	OTHER
l'entraînent	OTHER
vers	OTHER
le	OTHER
large	OTHER
Sous	OTHER
les	OTHER
étoiles	OTHER
qu'on	OTHER
ne	OTHER
voit	OTHER
pas	OTHER
,	OTHER
Le	OTHER
large	OTHER
de	OTHER
l'océan	OTHER
noir	OTHER
.	OTHER
Cingle	OTHER
la	OTHER
nef	OTHER
droit	OTHER
devant	OTHER
!	OTHER
Les	OTHER
ponts	OTHER
de	OTHER
pierre	OTHER
de	OTHER
Paris	LOCATION
Qui	OTHER
s	OTHER
`	OTHER
ennuient	OTHER
sur	OTHER
leurs	OTHER
pilotis	OTHER
Rêvent	OTHER
à	OTHER
des	OTHER
rives	OTHER
sans	OTHER
orages	OTHER
Bercés	OTHER
par	OTHER
le	OTHER
chant	OTHER
de	OTHER
la	OTHER
pluie	OTHER
...	OTHER
